DataPoint,Wavelength_1_Left Hand_,Wavelength_1_Right Hand_,Wavelength_1__,Wavelength_1__,Wavelength_1__,Wavelength_2_Left Hand_,Wavelength_2_Right Hand_,Wavelength_2__,Wavelength_2__,Wavelength_2__,Wavelength_3_Left Hand_,Wavelength_3_Right Hand_,Wavelength_3__,Wavelength_3__,Wavelength_3__
117,0.49327,0,1,0,0,0.49327,0,1,0,0,0.49327,0,1,0,0
118,0.506067,0,1,0,0,0.506067,0,1,0,0,0.506067,0,1,0,0
119,0.518831,0,1,0,0,0.518831,0,1,0,0,0.518831,0,1,0,0
120,0.531554,0,1,0,0,0.531554,0,1,0,0,0.531554,0,1,0,0
121,0.544228,0,1,0,0,0.544228,0,1,0,0,0.544228,0,1,0,0
122,0.556845,0,1,0,0,0.556845,0,1,0,0,0.556845,0,1,0,0
123,0.569396,0,1,0,0,0.569396,0,1,0,0,0.569396,0,1,0,0
124,0.581875,0,1,0,0,0.581875,0,1,0,0,0.581875,0,1,0,0
125,0.594274,0,1,0,0,0.594274,0,1,0,0,0.594274,0,1,0,0
126,0.606587,0,1,0,0,0.606587,0,1,0,0,0.606587,0,1,0,0
127,0.618807,0,1,0,0,0.618807,0,1,0,0,0.618807,0,1,0,0
128,0.630927,0,1,0,0,0.630927,0,1,0,0,0.630927,0,1,0,0
129,0.642942,0,1,0,0,0.642942,0,1,0,0,0.642942,0,1,0,0
130,0.654847,0,1,0,0,0.654847,0,1,0,0,0.654847,0,1,0,0
131,0.666635,0,1,0,0,0.666635,0,1,0,0,0.666635,0,1,0,0
132,0.678302,0,1,0,0,0.678302,0,1,0,0,0.678302,0,1,0,0
133,0.689843,0,1,0,0,0.689843,0,1,0,0,0.689843,0,1,0,0
134,0.701254,0,1,0,0,0.701254,0,1,0,0,0.701254,0,1,0,0
135,0.71253,0,1,0,0,0.71253,0,1,0,0,0.71253,0,1,0,0
136,0.723668,0,1,0,0,0.723668,0,1,0,0,0.723668,0,1,0,0
137,0.734664,0,1,0,0,0.734664,0,1,0,0,0.734664,0,1,0,0
138,0.745514,0,1,0,0,0.745514,0,1,0,0,0.745514,0,1,0,0
139,0.756216,0,1,0,0,0.756216,0,1,0,0,0.756216,0,1,0,0
140,0.766766,0,1,0,0,0.766766,0,1,0,0,0.766766,0,1,0,0
141,0.777163,0,1,0,0,0.777163,0,1,0,0,0.777163,0,1,0,0
142,0.787403,0,1,0,0,0.787403,0,1,0,0,0.787403,0,1,0,0
143,0.797485,0,1,0,0,0.797485,0,1,0,0,0.797485,0,1,0,0
144,0.807406,0,1,0,0,0.807406,0,1,0,0,0.807406,0,1,0,0
145,0.817166,0,1,0,0,0.817166,0,1,0,0,0.817166,0,1,0,0
146,0.826762,0,1,0,0,0.826762,0,1,0,0,0.826762,0,1,0,0
147,0.836194,0,1,0,0,0.836194,0,1,0,0,0.836194,0,1,0,0
148,0.845461,0,1,0,0,0.845461,0,1,0,0,0.845461,0,1,0,0
149,0.854561,0,1,0,0,0.854561,0,1,0,0,0.854561,0,1,0,0
150,0.863494,0,1,0,0,0.863494,0,1,0,0,0.863494,0,1,0,0
151,0.87226,0,1,0,0,0.87226,0,1,0,0,0.87226,0,1,0,0
152,0.880858,0,1,0,0,0.880858,0,1,0,0,0.880858,0,1,0,0
153,0.889289,0,1,0,0,0.889289,0,1,0,0,0.889289,0,1,0,0
154,0.897551,0,1,0,0,0.897551,0,1,0,0,0.897551,0,1,0,0
155,0.905646,0,1,0,0,0.905646,0,1,0,0,0.905646,0,1,0,0
